Distance [?m],488(spot_crop)(1)
0,120
0.065,120
0.13,117
0.195,119
0.261,128
0.326,128
0.391,126
0.456,273
0.521,585
0.586,1473
0.651,3848
0.716,5944
0.782,1436
0.847,1436
0.912,252
0.977,160
1.042,125
1.107,134
1.172,134
1.238,153
1.303,213
1.368,723
1.433,1202
1.498,3112
1.563,4546
1.628,3632
1.694,1649
1.759,378
1.824,249
1.889,164
1.954,132
2.019,132
2.084,123
2.149,119
2.215,150
2.28,164
2.345,228
2.41,386
2.475,1359
2.54,2510
2.605,1537
2.671,1163
2.736,555
2.801,229
2.866,172
2.931,159
2.996,143
3.061,154
3.127,131
3.192,131
3.257,131
3.322,126
3.387,120
3.452,139
3.517,134
3.582,137
3.648,141
3.713,139
3.778,160
3.843,201
3.908,311
3.973,640
4.038,2710
4.104,4642
4.169,3474
4.234,4701
4.299,1576
4.364,362
4.429,175
4.494,130
4.56,130
4.625,126
4.69,121
4.755,107
4.82,114
4.885,120
4.95,124
5.015,124
5.081,132
5.146,170
5.211,190
5.276,229
5.341,186
5.406,186
5.471,149
5.537,144
5.602,137
5.667,137
5.732,154
5.797,210
5.862,432
5.927,1029
5.993,2172
6.058,2627
6.123,1587
6.188,556
6.253,487
6.318,455
6.383,1026
6.448,1551
6.514,1649
6.579,1033
6.644,259
6.709,178
6.774,141
6.839,141
6.904,141
6.97,134
7.035,135
7.1,139
7.165,141
7.23,131
7.295,129
7.36,129
7.426,122
7.491,125
7.556,137
7.621,131
7.686,128
7.751,122
7.816,123
7.881,116
7.947,126
8.012,124
8.077,129
8.142,130
8.207,129
8.272,129
8.337,128
8.403,138
8.468,155
8.533,168
8.598,168
8.663,177
8.728,231
8.793,359
8.858,952
8.924,2582
8.989,2582
9.054,3227
9.119,2267
9.184,917
9.249,251
9.314,164
9.38,136
9.445,113
9.51,115
9.575,120
9.64,112
9.705,124
9.77,124
9.836,130
9.901,132
9.966,124
10.031,117
10.096,114
10.161,107
10.226,115
10.291,123
10.357,123
10.422,123
10.487,133
10.552,133
10.617,136
10.682,119
10.747,124
10.813,123
10.878,118
10.943,126
11.008,127
11.073,127
11.138,133
11.203,145
11.269,145
11.334,328
11.399,1339
11.464,2144
11.529,2237
11.594,782
11.659,355
11.724,148
11.79,129
11.855,123
11.92,118
